latitude,longitude,value
8.5149093,76.9435879,21.0
11.258244,77.552429,41.0
12.9099161,80.1076538,30.0
12.9135218,77.5950804,92.0
12.917348,77.622813,28.0
12.920984,77.584908,19.0
12.9352049,77.6814488,99.0
12.938539,77.5901,21.0
12.951913,77.539784,36.0
13.0052189,80.2398125,29.0
13.0270199,77.494094,48.0
13.029152,77.585901,21.0
13.08784,80.27847,21.0
13.164544,80.26285,23.0
13.428828,77.731418,24.0
13.67,79.35,18.0
15.351773,75.140726,37.0
16.507014,80.627767,23.0
16.5150833,80.5181667,18.0
16.9872867,81.7363176,18.0
17.320057,76.820889,31.0
17.349694,78.451437,77.0
17.4342359,78.4170318,21.0
17.4559458,78.4332152,44.0
17.460103,78.334361,22.0
17.5316895,78.218939,39.0
17.540891,78.358528,38.0
17.6599188,75.9063906,57.0
17.72,83.3,29.0
18.5011743,73.8165527,83.0
18.91,72.82,6.0
18.9936162,72.8128113,23.0
19.008751,73.01662,17.0
19.041847,72.865513,22.0
19.047,72.8746,15.0
19.07283,72.88261,30.0
19.0863,72.8888,21.0
19.10078,72.87462,19.0
19.10861,72.83622,13.0
19.1135051,73.008978,20.0
19.1375,72.915056,15.0
19.2243333,72.8658113,12.0
19.3832,72.8204,24.0
19.645324,77.6345232,40.0
19.8389439,75.244448,65.0
19.9775302,79.2337086,32.0
20.0073285,73.7762427,30.0
20.362421,72.918013,42.0
20.9360711,85.1707021,25.0
21.152875,79.0517531,52.0
21.613267,73.010555,37.0
21.8004996,83.8396977,42.0
22.49929,88.36917,25.0
22.5448082,88.3403691,19.0
22.55664,88.342674,27.0
22.5687319,88.2797276,26.0
22.611968,88.347422,25.0
22.624758,75.675238,32.0
22.629801,88.352017,27.0
22.9682591,76.064118,35.0
22.969611,72.6435,50.0
23.002657,72.591912,69.0
23.10844,77.511428,35.0
23.182719,75.768218,30.0
23.221714,72.654328,40.0
23.331731,75.045981,36.0
23.685297,86.945968,38.0
23.81748678,79.446246,47.0
24.10897,82.64558,57.0
24.2613009,80.7231783,41.0
24.58434363,80.8549414,18.0
24.5886166,73.6321397,42.0
24.7955,84.9994,66.0
25.14389,75.821256,71.0
25.3505986,82.9083074,128.0
25.5941,85.1376,60.0
25.771061,73.340227,66.0
26.1209,85.3647,55.0
26.1445,91.7362,27.0
26.268249,73.0193853,132.0
26.4703136,80.3229863,73.0
26.470859,74.646594,72.0
26.6883049,88.412668,28.0
26.83399722,80.8917361,175.0
26.8458805,80.9365541,166.0
26.871428,80.957145,103.0
26.8821003,80.9302753,74.0
26.902909,75.836858,52.0
26.9164092,75.7994901,79.0
26.9502929,75.730943,46.0
27.19865833,78.00598056,81.0
27.554793,76.611536,46.0
27.9002,76.9938,66.0
28.060249,76.113115,73.0
28.194909,76.862296,105.0
28.2068,76.7997,63.0
28.3419248,77.319699,107.0
28.360699,76.93609,88.0
28.406963,77.849831,58.0
28.4088421,77.3099081,99.0
28.422681,77.148944,104.0
28.4501238,77.0263051,128.0
28.4706914,77.1099364,69.0
28.47272,77.482,62.0
28.498571,77.26484,55.0
28.530785,77.271255,77.0
28.531346,77.190156,75.0
28.5447608,77.3231257,82.0
28.5504249,77.2159377,84.0
28.5512005,77.2735737,78.0
28.557054,77.453663,58.0
28.5627763,77.1180053,66.0
28.563262,77.186937,65.0
28.56789,77.250515,82.0
28.56923,77.393848,51.0
28.570173,76.933762,72.0
28.5710274,77.0719006,69.0
28.58028,77.233829,53.0
28.5898,77.3101,48.0
28.5918245,77.2273074,66.0
28.60909,77.0325413,120.0
28.611281,77.237738,58.0
28.623763,77.287209,55.0
28.6245479,77.3577104,80.0
28.6316945,77.2494387,102.0
28.63576,77.22445,86.0
28.636429,77.201067,99.0
28.639645,77.146263,74.0
28.646233,77.358075,65.0
28.646835,77.316032,97.0
28.6514781,77.1473105,146.0
28.6573814,77.1585447,109.0
28.6603346,77.3572563,88.0
28.6701,76.9254,55.0
28.672342,77.31526,61.0
28.674045,77.131023,76.0
28.6811736,77.3025234,124.0
28.684678,77.076574,99.0
28.685382,77.453839,101.0
28.695381,77.181665,94.0
28.699793,77.165453,95.0
28.710508,77.249485,77.0
28.725645,77.749675,47.0
28.7256504,77.2011573,103.0
28.732528,77.11992,87.0
28.73282,77.170633,111.0
28.7500499,77.1112615,95.0
28.757294,77.278792,99.0
28.7762,77.051074,96.0
28.806223,76.141105,86.0
28.815329,77.15301,58.0
28.822836,77.101981,83.0
28.825341,78.7213009,103.0
28.870083,76.6205,97.0
28.974801,77.213357,70.0
29.0002662,76.9997466,55.0
29.0272,77.0669191,78.0
29.14056,75.744941,83.0
29.307814,76.337619,58.0
29.4723508,77.7194031,64.0
29.497973,76.993331,49.0
29.5364,75.0158,75.0
29.6953,77.0027,143.0
30.1480566,77.2893471,72.0
30.349388,76.366642,45.0
30.649961,76.331442,44.0
30.7057778,76.8531805555555,35.0
30.736056,76.209694,36.0
30.9028,75.8086,43.0
31.0325454,76.5623046,57.0
31.321907,75.578914,51.0
31.62,74.876512,38.0
